,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
226,226,0,3,1,2,4
227,227,1,0,0,0,9
228,228,0,1,2,1,6
229,229,1,0,0,3,6
230,230,0,0,0,0,10
231,231,0,0,0,5,5
232,232,0,1,1,2,6
233,233,0,0,2,7,1
234,234,1,0,0,3,6
235,235,0,0,1,2,7
236,236,0,0,2,0,8
237,237,0,0,0,2,8
238,238,0,0,0,2,8
239,239,0,0,1,5,4
240,240,2,2,3,1,2
241,241,0,0,1,0,9
242,242,4,0,0,2,4
243,243,0,1,0,7,2
244,244,2,1,2,3,2
245,245,1,0,1,2,6
246,246,1,0,0,3,6
247,247,0,0,0,2,8
248,248,2,0,0,1,7
249,249,1,0,0,3,6
250,250,1,1,0,0,8
251,251,3,0,0,2,5
252,252,2,1,0,3,4
253,253,1,2,4,0,3
254,254,3,0,2,0,5
255,255,1,1,1,0,7
256,256,1,0,0,3,6
257,257,1,0,1,2,6
258,258,2,0,0,1,7
259,259,0,0,0,1,9
260,260,0,1,1,1,7
261,261,3,1,0,2,4
262,262,1,0,0,2,7
263,263,2,0,1,0,7
264,264,0,0,0,1,9
265,265,0,1,0,2,7
266,266,3,1,1,1,4
267,267,2,0,1,2,5
268,268,1,0,0,3,6
269,269,1,0,0,0,9
270,270,0,0,0,2,8
271,271,1,0,1,4,4
272,272,0,2,0,2,6
273,273,2,0,1,2,5
274,274,1,0,0,0,9
275,275,0,0,0,0,10
276,276,1,0,0,2,7
277,277,0,0,3,2,5
278,278,1,1,1,1,6
279,279,0,0,0,2,8
280,280,1,0,1,0,8
281,281,3,0,0,2,5
282,282,1,1,0,1,7
283,283,3,0,1,0,6
284,284,0,0,0,0,10
285,285,4,0,1,0,5
286,286,0,0,1,1,8
287,287,2,1,0,2,5
288,288,0,0,0,1,9
289,289,1,1,0,2,6
290,290,0,0,0,3,7
291,291,1,0,0,0,9
292,292,2,0,0,0,8
293,293,1,0,0,1,8
294,294,0,0,0,1,9
295,295,1,0,0,2,7
296,296,0,0,1,2,7
297,297,2,0,1,1,6
298,298,0,0,1,7,2
299,299,0,0,1,1,8
300,300,2,0,0,1,7
301,301,1,0,0,2,7
302,302,0,0,0,1,9
303,303,1,0,0,1,8
304,304,4,0,0,2,4
305,305,3,0,2,0,5
306,306,0,0,0,3,7
307,307,4,0,0,2,4
308,308,2,0,1,1,6
309,309,3,0,1,1,5
310,310,0,0,0,0,10
311,311,3,0,3,1,3
312,312,3,0,1,1,5
313,313,1,0,0,0,9
314,314,1,2,1,3,3
315,315,0,0,2,0,8
316,316,3,0,1,1,5
317,317,0,0,0,1,9
318,318,3,1,0,2,4
319,319,2,0,1,0,7
320,320,0,1,0,6,3
321,321,3,0,0,2,5
322,322,1,1,0,2,6
323,323,1,0,0,0,9
324,324,0,0,0,0,10
325,325,2,0,0,1,7
326,326,0,0,0,0,10
327,327,0,0,0,2,8
328,328,1,0,0,0,9
329,329,0,0,1,0,9
330,330,2,0,0,2,6
331,331,0,0,0,3,7
332,332,1,0,0,0,9
333,333,1,0,0,3,6
334,334,1,0,1,1,7
335,335,0,0,0,1,9
336,336,1,0,0,2,7
337,337,4,0,0,2,4
338,338,2,0,0,0,8
339,339,3,0,2,1,4
340,340,0,2,1,3,4
341,341,1,0,0,0,9
342,342,1,1,1,1,6
343,343,1,0,0,3,6
344,344,0,0,0,3,7
345,345,2,0,0,1,7
346,346,1,2,0,3,4
347,347,1,0,1,1,7
348,348,0,0,1,1,8
349,349,2,0,2,0,6
350,350,2,1,3,2,2
351,351,1,0,1,2,6
352,352,0,0,1,4,5
353,353,4,0,0,1,5
354,354,0,1,1,0,8
355,355,0,0,1,5,4
356,356,0,2,1,3,4
357,357,1,2,1,1,5
358,358,1,1,1,0,7
359,359,2,1,0,3,4
360,360,1,1,0,0,8
361,361,1,0,2,0,7
362,362,4,0,0,1,5
363,363,1,2,0,1,6
364,364,0,0,2,5,3
365,365,2,1,1,3,3
366,366,0,1,1,3,5
367,367,0,0,1,0,9
368,368,1,0,3,1,5
369,369,2,0,0,1,7
370,370,0,0,0,0,10
371,371,1,1,0,3,5
372,372,0,0,1,2,7
373,373,0,0,0,2,8
374,374,0,0,1,2,7
375,375,2,0,0,1,7
376,376,1,1,0,1,7
377,377,1,0,2,0,7
378,378,0,0,1,0,9
379,379,0,1,2,1,6
380,380,0,0,1,2,7
381,381,1,1,1,1,6
382,382,0,0,1,2,7
383,383,0,0,2,1,7
384,384,0,0,0,0,10
385,385,1,0,0,6,3
386,386,2,2,0,1,5
387,387,0,0,2,1,7
388,388,1,1,0,7,1
389,389,2,0,0,0,8
390,390,1,0,1,4,4
391,391,1,0,1,1,7
392,392,0,0,2,1,7
393,393,3,0,1,2,4
394,394,0,0,1,2,7
395,395,1,0,1,2,6
396,396,3,0,0,0,7
397,397,1,0,0,0,9
398,398,1,0,0,1,8
399,399,0,0,2,1,7
400,400,4,0,1,1,4
401,401,0,1,0,1,8
402,402,0,0,0,3,7
403,403,1,0,2,4,3
404,404,0,0,1,1,8
405,405,1,0,1,0,8
406,406,2,0,0,0,8
407,407,0,0,0,5,5
408,408,2,2,1,0,5
409,409,1,0,3,1,5
410,410,0,0,0,10,0
411,411,0,1,2,1,6
412,412,2,1,1,1,5
413,413,0,0,2,0,8
414,414,3,1,0,2,4
415,415,0,0,0,3,7
416,416,0,0,1,3,6
417,417,1,0,0,1,8
418,418,3,1,0,2,4
419,419,1,1,0,0,8
420,420,0,0,0,2,8
421,421,2,0,0,2,6
422,422,1,0,1,3,5
423,423,0,0,0,2,8
424,424,1,1,1,2,5
425,425,0,0,2,0,8
426,426,0,0,2,1,7
427,427,0,1,0,1,8
428,428,0,1,0,3,6
429,429,1,1,1,0,7
430,430,2,0,0,3,5
431,431,1,0,0,2,7
432,432,1,2,0,1,6
433,433,0,0,2,1,7
434,434,2,0,0,4,4
435,435,3,2,0,1,4
436,436,0,0,0,1,9
437,437,1,2,0,1,6
438,438,1,1,1,1,6
439,439,1,2,0,1,6
440,440,1,0,1,3,5
441,441,0,0,0,2,8
442,442,0,1,1,3,5
443,443,1,0,0,0,9
444,444,0,0,1,1,8
445,445,1,1,1,1,6
446,446,0,0,0,1,9
447,447,0,0,1,2,7
448,448,1,0,0,0,9
449,449,1,0,0,2,7
450,450,0,1,0,2,7
451,451,0,0,1,0,9
452,452,2,0,2,1,5
453,453,0,0,2,0,8
454,454,1,0,0,1,8
455,455,3,0,1,0,6
456,456,0,0,0,0,10
457,457,1,0,0,1,8
458,458,1,0,0,3,6
459,459,1,1,0,1,7
460,460,3,1,0,1,5
461,461,0,1,0,2,7
462,462,0,0,1,2,7
463,463,1,0,1,0,8
464,464,0,0,0,0,10
465,465,1,1,0,0,8
466,466,0,0,0,0,10
467,467,2,0,0,2,6
468,468,0,0,1,2,7
469,469,1,0,0,0,9
470,470,2,1,0,2,5
471,471,2,0,0,0,8
472,472,3,0,0,2,5
473,473,0,0,1,0,9
474,474,2,0,0,1,7
475,475,2,1,0,2,5
476,476,0,1,2,1,6
477,477,1,0,0,2,7
478,478,0,1,1,0,8
479,479,0,0,0,2,8
480,480,0,0,2,4,4
481,481,2,1,1,1,5
482,482,1,1,0,2,6
483,483,0,0,2,0,8
484,484,1,1,1,1,6
485,485,4,0,0,2,4
486,486,2,1,0,0,7
487,487,1,0,2,1,6
488,488,2,1,0,0,7
489,489,0,0,1,2,7
490,490,0,1,0,1,8
491,491,0,0,0,2,8
492,492,0,0,2,2,6
493,493,2,1,0,2,5
494,494,1,0,0,2,7
495,495,3,0,1,1,5
496,496,1,1,0,4,4
497,497,2,1,0,0,7
498,498,1,1,0,1,7
499,499,0,0,0,2,8
500,500,1,0,0,3,6
501,501,4,0,0,2,4
502,502,1,0,0,2,7
503,503,2,0,0,2,6
504,504,2,1,0,1,6
505,505,1,1,1,1,6
506,506,1,1,1,0,7
507,507,2,0,1,3,4
508,508,0,0,1,0,9
509,509,0,0,2,0,8
510,510,1,0,0,0,9
511,511,3,1,1,1,4
512,512,1,0,0,0,9
513,513,3,0,1,1,5
514,514,3,0,3,0,4
515,515,0,0,0,5,5
516,516,0,0,1,2,7
517,517,0,0,1,1,8
518,518,0,0,2,0,8
519,519,0,0,0,3,7
520,520,2,0,2,1,5
521,521,2,0,2,1,5
522,522,2,0,0,2,6
523,523,3,0,1,3,3
524,524,2,1,1,2,4
525,525,1,0,0,1,8
526,526,4,0,0,0,6
527,527,2,0,1,0,7
528,528,0,0,0,2,8
529,529,0,1,1,5,3
530,530,0,0,2,3,2
531,531,0,0,1,0,9
532,532,4,0,1,0,5
533,533,1,0,2,4,3
534,534,1,0,6,3,0
535,535,1,0,4,4,1
536,536,0,0,0,8,2
537,537,4,0,0,2,4
538,538,1,0,0,2,7
539,539,0,1,0,1,8
540,540,0,0,0,0,10
541,541,0,0,1,3,6
542,542,2,0,0,1,7
543,543,1,0,1,2,6
544,544,0,0,2,3,5
545,545,1,1,1,0,7
546,546,0,0,0,2,8
547,547,1,0,0,0,9
548,548,3,0,0,0,7
549,549,2,0,3,0,5
550,550,2,1,0,3,4
551,551,4,0,2,1,3
552,552,1,0,0,3,6
553,553,3,0,2,0,5
554,554,1,2,0,5,2
555,555,0,0,0,2,8
556,556,0,0,0,3,7
557,557,1,0,0,2,7
558,558,0,0,0,2,8
559,559,2,0,0,1,7
560,560,1,0,2,1,6
561,561,1,0,0,3,6
562,562,2,0,1,0,7
563,563,2,1,0,0,7
564,564,0,0,1,5,4
565,565,4,0,1,1,4
566,566,1,0,1,1,7
567,567,3,0,1,1,5
568,568,0,0,0,1,9
569,569,1,1,1,5,2
570,570,0,0,0,2,8
571,571,0,0,0,0,10
572,572,1,0,0,2,7
573,573,0,2,2,4,2
574,574,2,2,0,1,5
575,575,1,0,0,2,7
576,576,1,0,0,3,6
577,577,0,0,0,6,4
578,578,1,1,0,1,7
579,579,0,0,1,2,7
580,580,0,0,0,1,9
581,581,0,1,1,0,8
582,582,4,0,0,0,6
583,583,2,0,0,2,6
584,584,3,1,0,1,5
585,585,1,0,1,3,5
586,586,2,0,2,0,6
587,587,0,0,2,2,6
588,588,0,0,0,1,9
589,589,2,0,1,0,7
590,590,0,0,1,0,9
591,591,1,0,0,2,7
592,592,0,1,2,1,6
593,593,0,2,1,0,7
594,594,3,0,1,0,6
595,595,2,0,1,0,7
596,596,1,0,1,1,7
597,597,2,0,0,2,6
598,598,0,0,1,1,8
599,599,0,0,0,0,10
600,600,1,1,1,0,7
601,601,0,0,1,2,7
602,602,1,1,1,1,6
603,603,3,0,0,3,4
604,604,1,2,0,1,6
605,605,0,1,1,3,5
606,606,0,0,3,4,2
607,607,0,0,0,1,0
608,608,2,0,0,2,6
609,609,1,2,0,2,5
610,610,4,0,0,0,6
611,611,1,0,0,0,9
612,612,1,1,1,2,5
613,613,0,0,0,4,6
614,614,2,0,0,1,7
615,615,0,0,1,3,6
616,616,0,0,0,1,9
617,617,2,2,0,1,5
618,618,1,0,1,3,5
619,619,0,0,1,0,9
620,620,0,0,0,3,7
621,621,3,0,3,1,3
622,622,1,0,1,5,3
623,623,1,0,0,1,8
624,624,1,0,0,3,6
625,625,2,0,0,0,8
626,626,2,1,2,3,2
627,627,2,1,0,1,6
628,628,1,1,1,1,6
629,629,0,0,2,2,6
630,630,0,0,0,1,9
631,631,2,1,0,2,5
632,632,1,1,1,1,6
633,633,2,0,0,3,5
634,634,1,1,1,1,6
635,635,1,1,0,2,6
636,636,3,0,1,0,6
637,637,0,1,1,3,5
638,638,0,1,0,8,1
639,639,0,0,0,4,5
640,640,1,0,0,2,7
