,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes
50,Adelaide St W / York St ,43.6491919790139,-79.38363237427446,2025-07-29T03:42:29.068828+00:00Z,2,17,1,1,0
51,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,2025-07-29T03:42:28.790398+00:00Z,1,26,1,1,0
52,St Clarens Ave / Shirley St,43.6486599,-79.4376413,2025-07-29T03:42:28.796281+00:00Z,0,14,1,1,0
53,Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,2025-07-29T03:42:28.933386+00:00Z,14,10,1,1,0
54,Cumberland St / Bay St -  SMART,43.6704537,-79.39014,2025-07-29T03:42:28.791771+00:00Z,1,8,1,1,0
55,Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,2025-07-29T03:42:29.068015+00:00Z,0,18,1,1,0
56,Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,2025-07-29T03:42:29.069161+00:00Z,2,17,1,1,0
57,Bay St / Albert St,43.653264,-79.382458,2025-07-29T03:42:28.733524+00:00Z,1,58,1,1,0
58,Jack Layton Ferry Terminal,43.64103161936887,-79.37670442726134,2025-07-29T03:42:29.216098+00:00Z,1,22,1,1,1
59,High Park Outdoor Pool,43.650154,-79.464934,2025-07-29T03:42:28.795265+00:00Z,0,26,1,1,0
60,800 Fleet St (South),43.63670985212708,-79.40880517790985,2025-07-29T03:42:28.933487+00:00Z,19,17,1,1,15
61,McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,2025-07-29T03:42:29.069073+00:00Z,7,11,1,1,1
62,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,2025-07-29T03:42:28.734164+00:00Z,21,2,1,1,0
63,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,2025-07-29T03:42:28.792126+00:00Z,7,10,1,1,2
64,Niagara St / Tecumseth St,43.641389,-79.404444,2025-07-29T03:42:28.788512+00:00Z,8,6,1,1,1
65,Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,2025-07-29T03:42:28.935020+00:00Z,7,6,1,1,2
66,Oakdale Community Centre,43.74751496038769,-79.5132569853195,2025-07-29T03:42:29.067754+00:00Z,12,1,1,1,0
67,Trinity St /Front St E,43.651318,-79.36023,2025-07-29T03:42:28.733727+00:00Z,15,1,1,1,0
68,Finch Ave E / Upper Don Recreational Trail ,43.78893788312306,-79.37488868750592,2025-07-29T03:42:29.216325+00:00Z,11,0,1,1,0
69,Sheppard Ave E / Brian Dr,43.7751833232896,-79.33044338101735,2025-07-29T03:42:29.216564+00:00Z,5,12,1,1,1
70,Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,2025-07-29T03:42:28.935490+00:00Z,1,18,1,1,0
71,Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,2025-07-29T03:42:28.877790+00:00Z,18,2,1,1,0
72,Swansea Community Centre,43.6438036,-79.4770327,2025-07-29T03:42:28.878038+00:00Z,4,10,1,1,0
73,The Queensway / High St,43.630874,-79.482407,2025-07-29T03:42:28.878008+00:00Z,16,7,1,1,0
74,Esther Shiner Stadium,43.7774374,-79.4447096,2025-07-29T03:42:28.878888+00:00Z,8,14,1,1,1
75,Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,2025-07-29T03:42:29.068306+00:00Z,0,15,1,1,0
76,College Park - Gerrard Entrance,43.658938,-79.383518,2025-07-29T03:42:28.791840+00:00Z,4,20,1,1,0
77,Carlton St / Parliament St,43.664524,-79.36793,2025-07-29T03:42:28.788405+00:00Z,17,7,1,1,2
78,Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,2025-07-29T03:42:28.934669+00:00Z,2,13,1,1,1
79,Hanna Ave / Snooker St,43.639547,-79.420022,2025-07-29T03:42:29.068673+00:00Z,7,8,1,1,0
80,Queen St W / John St,43.650077,-79.391291,2025-07-29T03:42:28.877806+00:00Z,0,19,1,1,0
81,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,2025-07-29T03:42:28.788693+00:00Z,2,12,1,1,0
82,Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,2025-07-29T03:42:28.933685+00:00Z,0,19,1,1,0
83,St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,2025-07-29T03:42:28.877885+00:00Z,5,13,1,1,0
84,Jarvis St / Isabella St,43.668991,-79.379385,2025-07-29T03:42:28.733667+00:00Z,4,17,1,1,1
85,Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,2025-07-29T03:42:29.067787+00:00Z,11,4,1,1,0
86,Bay St / College St (East Side),43.660439,-79.385525,2025-07-29T03:42:28.733314+00:00Z,3,23,1,1,0
87,Richmond St W / York St,43.650745,-79.383633,2025-07-29T03:42:28.879011+00:00Z,0,15,1,1,0
88,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,2025-07-29T03:42:28.790324+00:00Z,2,16,1,1,1
89,Bay St / Bloor St W (West Side),43.669244,-79.3894,2025-07-29T03:42:28.791099+00:00Z,0,19,1,1,0
90,Queen St W / Spadina Ave,43.649147,-79.395504,2025-07-29T03:42:28.734108+00:00Z,0,8,1,1,0
91,Davenport Rd / Avenue Rd,43.674991,-79.396273,2025-07-29T03:42:28.788597+00:00Z,2,6,1,1,0
92,King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,2025-07-29T03:42:28.934425+00:00Z,6,3,1,1,1
93,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,2025-07-29T03:42:28.795226+00:00Z,0,19,1,1,0
94,Edward St / Yonge St,43.656729,-79.382736,2025-07-29T03:42:28.733801+00:00Z,6,15,1,1,0
95,16 Riverview Gardens ,43.64883712159794,-79.48675294250663,2025-07-29T03:42:29.069528+00:00Z,23,4,1,1,21
96,Queen's Park / Bloor St W,43.668456,-79.393899,2025-07-29T03:42:28.734040+00:00Z,0,21,1,1,0
97,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,2025-07-29T03:42:28.790213+00:00Z,10,0,1,1,1
98,Shaw St / King St W,43.6412561641921,-79.41502994047545,2025-07-29T03:42:28.934640+00:00Z,14,0,1,1,0
99,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,2025-07-29T03:42:28.879847+00:00Z,4,12,1,1,1
100,Castle Frank Subway Station,43.67418030086386,-79.36795839711793,2025-07-29T03:42:29.217026+00:00Z,3,11,1,1,1
101,Spadina Ave / Blue Jays Way,43.641705,-79.393295,2025-07-29T03:42:28.792238+00:00Z,15,10,1,1,0
102,Glendonwynne Rd / Bloor St W,43.65182,-79.47421,2025-07-29T03:42:28.795321+00:00Z,3,16,1,1,2
103,Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,2025-07-29T03:42:28.796219+00:00Z,15,0,1,1,0
104,2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,2025-07-29T03:42:28.935445+00:00Z,36,0,1,1,36
105,Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,2025-07-29T03:42:28.933770+00:00Z,1,14,1,1,0
106,75 Holly St,43.7063279,-79.3962499,2025-07-29T03:42:28.934278+00:00Z,6,14,1,1,6
107,Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,2025-07-29T03:42:28.879269+00:00Z,9,2,1,1,0
108,The Pond Rd / Shoreham Dr,43.772445,-79.511912,2025-07-29T03:42:28.933919+00:00Z,2,11,1,1,0
109,Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,2025-07-29T03:42:29.068619+00:00Z,0,18,1,1,0
110,Lynn Williams St / East Liberty St,43.638925,-79.4168659,2025-07-29T03:42:28.796323+00:00Z,14,0,1,1,1
