,Unnamed: 0,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
39,39,Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,2025-07-29,1,13,1,1,0,39,0,0,0,3,7
40,40,Niagara St / King St W - SMART,43.64281323408372,-79.40751415588915,2025-07-29,15,8,1,1,0,40,1,1,2,4,2
41,41,Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,2025-07-29,2,11,1,1,1,41,2,1,0,3,4
42,42,Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,2025-07-29,0,14,1,1,0,42,1,0,3,0,6
43,43,Harbord St / Grace St (Bickford Park),43.65995363518053,-79.41787388888551,2025-07-29,10,13,1,1,0,43,2,1,0,1,6
44,44,Alvin Ave / St. Clair Ave E,43.68871,-79.39264,2025-07-29,0,18,1,1,0,44,0,0,0,2,8
45,45,385 Pacific Ave,43.6651094724602,-79.46833581423087,2025-07-29,0,23,1,1,0,45,1,0,2,1,6
46,46,Chorley Park - SMART,43.6856,-79.3718,2025-07-29,9,10,1,1,3,46,0,0,1,7,2
47,47,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,2025-07-29,2,27,1,1,0,47,1,0,2,2,5
48,48,Yonge St / Davisville Ave,43.6975969,-79.39654,2025-07-29,2,13,1,1,2,48,1,0,0,2,7
49,49,Berry Rd / Bell Manor Dr,43.63732,-79.489083,2025-07-29,17,1,1,1,1,49,0,0,0,6,4
50,50,Adelaide St W / York St ,43.6491919790139,-79.38363237427446,2025-07-29,2,17,1,1,0,50,4,0,0,0,6
51,51,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,2025-07-29,1,26,1,1,0,51,1,2,0,3,4
52,52,St Clarens Ave / Shirley St,43.6486599,-79.4376413,2025-07-29,0,14,1,1,0,52,0,0,1,3,6
53,53,Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,2025-07-29,14,10,1,1,0,53,0,1,3,0,6
54,54,Cumberland St / Bay St -  SMART,43.6704537,-79.39014,2025-07-29,1,8,1,1,0,54,2,0,0,2,6
55,55,Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,2025-07-29,0,18,1,1,0,55,0,0,0,1,9
